20210401,59307,30317,92037370,28990
20210402,58279,29904,88672640,28375
20210403,61335,31501,93334010,29834
20210404,58738,30032,90079590,28706
20210405,60094,30669,93566780,29425
20210406,60133,30599,91068690,29534
20210407,60023,30821,91952940,29202
20210408,61523,31778,93896450,29745
20210409,62636,32396,96418720,30240
20210410,65824,33855,101037480,31969
20210411,64830,33355,98180310,31475
20210412,68080,35117,104436660,32963
20210413,57420,29102,84879270,28318
20210414,57436,29265,85093800,28171
20210415,57653,29009,84795570,28644
20210416,57936,29175,85920050,28761
20210417,56676,28464,84094120,28212
20210418,55704,27814,79899150,27890
20210419,59358,30182,88523470,29176
20210420,58703,29508,87346690,29195
20210421,57238,28678,82664250,28560
20210422,54088,26722,76516770,27366
20210423,54619,26952,77480220,27667
20210424,53945,26661,76443790,27284
20210425,51498,25407,72416260,26091
20210426,53968,26783,76321030,27185
